Particle 0: Vec3(x=-0.3014926544769845, y=-0.08573814469993364, z=3.1865151669439875) nm
Particle 1: Vec3(x=-0.22572442913326984, y=-0.09562038099753559, z=3.2510249935756383) nm
Particle 2: Vec3(x=-0.269921877999679, y=-0.10819641409251364, z=3.0943256203211003) nm
Particle 3: Vec3(x=-0.3555479461699015, y=-0.03486627881839779, z=0.11339575000418031) nm
Particle 4: Vec3(x=-0.38592523547706853, y=0.016672194237979332, z=0.19352693237027918) nm
Particle 5: Vec3(x=-0.3201100447622778, y=0.028403710741775383, z=0.04454036631559465) nm
Particle 6: Vec3(x=3.247533673737283, y=-0.0958840746539052, z=0.6322914912131802) nm
Particle 7: Vec3(x=3.2491058057403572, y=0.0019987950240473217, z=0.6118838327831422) nm
Particle 8: Vec3(x=3.2050179096485136, y=-0.14509189175564968, z=0.5563243875560538) nm
Particle 9: Vec3(x=-0.18005950171720314, y=3.0789352635019935, z=1.0005717108314869) nm
Particle 10: Vec3(x=-0.13114700726408735, y=3.038374390652889, z=1.077788184320736) nm
Particle 11: Vec3(x=-0.2086211237926053, y=3.006723655985561, z=0.9375660144038) nm
Particle 12: Vec3(x=-0.21224127375296484, y=-0.0723711482295877, z=1.3075695589059164) nm
Particle 13: Vec3(x=-0.17544992265386677, y=-0.160674783440852, z=1.278434274613463) nm
Particle 14: Vec3(x=-0.14555604738645755, y=-0.02611861264627706, z=1.3659971537099598) nm
Particle 15: Vec3(x=2.8466982319487517, y=3.099207790289295, z=1.4518270467472254) nm
Particle 16: Vec3(x=2.883718865946392, y=3.0151034442151854, z=1.4912723497360778) nm
Particle 17: Vec3(x=2.9196567703584093, y=3.148932430603532, z=1.4048748144598302) nm
Particle 18: Vec3(x=2.921615812652658, y=-0.19365001337739743, z=1.9955204126145214) nm
Particle 19: Vec3(x=3.011602664307997, y=-0.23659872324329984, z=1.987919416098416) nm
Particle 20: Vec3(x=2.900713396207085, y=-0.14484080389164405, z=1.9107811044149914) nm
Particle 21: Vec3(x=-0.16967152266793817, y=2.923132420540749, z=2.054958127729946) nm
Particle 22: Vec3(x=-0.19793931151541, y=3.016400956424321, z=2.0325547211623523) nm
Particle 23: Vec3(x=-0.07341669556019696, y=2.9107723472444267, z=2.0308285370870935) nm
Particle 24: Vec3(x=0.08772113980032183, y=3.1648553482201915, z=2.3450001907563682) nm
Particle 25: Vec3(x=0.06841887255173487, y=3.0680703950167665, z=2.3611276707361455) nm
Particle 26: Vec3(x=0.006005936877278705, y=3.2095188144205093, z=2.308561191096084) nm
Particle 27: Vec3(x=-0.2620758242786135, y=3.04480117481991, z=2.770305747409977) nm
Particle 28: Vec3(x=-0.33810555939218695, y=3.1040173983478576, z=2.7970062820052104) nm
Particle 29: Vec3(x=-0.17927491628497505, y=3.072961900204531, z=2.8187926887371453) nm
Particle 30: Vec3(x=3.0837109786629786, y=0.2092786224620607, z=0.17686365803802984) nm
Particle 31: Vec3(x=3.1137848445082357, y=0.16647150289503979, z=0.09163975642868394) nm
Particle 32: Vec3(x=3.0929455291615917, y=0.30856822658627125, z=0.1693604661859355) nm
Particle 33: Vec3(x=2.8512632479504436, y=0.2595236764926594, z=0.32293228417810044) nm
Particle 34: Vec3(x=2.9344243154348626, y=0.2053438771680251, z=0.3107344770793845) nm
Particle 35: Vec3(x=2.873146335948951, y=0.3566764864500175, z=0.3138514100427398) nm
Particle 36: Vec3(x=2.93628408454975, y=0.45629612046433493, z=0.8592663318407537) nm
Particle 37: Vec3(x=2.8825744063923566, y=0.4271616104507927, z=0.7801054128432886) nm
Particle 38: Vec3(x=3.025641362840719, y=0.48913535028126964, z=0.8286581287003518) nm
Particle 39: Vec3(x=-0.14324084315483745, y=0.16128656587428028, z=0.9975988916581299) nm
