# Header information on force file

1_1
N 2000  R        0.007500       15.000000

    1      0.00750000    750.66337900    569.93530200
    2      0.01500000    746.45791600    568.31055900
    3      0.02250000    742.25245300    566.68581500
    4      0.03000000    738.04699000    565.06107100
    5      0.03750000    733.84152700    563.43632700
    6      0.04500000    729.63606400    561.81158400
    7      0.05250000    725.43060100    560.18684000
    8      0.06000000    721.22513800    558.56209600
    9      0.06750000    717.05216900    556.93735200
   10      0.07500000    712.87920100    555.31260900
   11      0.08250000    708.71706400    553.68786500
   12      0.09000000    704.57659100    552.06312100
   13      0.09750000    700.43611800    550.43837700
   14      0.10500000    696.31730800    548.81363400
   15      0.11250000    692.20932900    547.18889000
   16      0.12000000    688.10135000    545.56414700
   17      0.12750000    684.02586700    543.93940300
   18      0.13500000    679.95038300    542.31466000
   19      0.14250000    675.88573100    540.68991600
   20      0.15000000    671.84274200    539.06517200
   21      0.15750000    667.79975400    537.44042800
   22      0.16500000    663.77842800    535.81568500
   23      0.17250000    659.76793400    534.19094100
   24      0.18000000    655.75744000    532.56619700
   25      0.18750000    651.77944100    530.94145300
   26      0.19500000    647.80144200    529.31671000
   27      0.20250000    643.83427500    527.69196600
   28      0.21000000    639.88877100    526.06722200
   29      0.21750000    635.94326600    524.44247800
   30      0.22500000    632.01942500    522.81773500
   31      0.23250000    628.10641600    521.19299100
   32      0.24000000    624.19340700    519.56824800
   33      0.24750000    620.31289200    517.94350400
   34      0.25500000    616.43237800    516.31876100
   35      0.26250000    612.56269500    514.69401700
   36      0.27000000    608.71467500    513.06927300
   37      0.27750000    604.86665600    511.44452900
   38      0.28500000    601.04030000    509.81978500
   39      0.29250000    597.22477500    508.19504200
   40      0.30000000    593.40925000    506.57029800
   41      0.30750000    589.62622000    504.94555400
   42      0.31500000    585.84319100    503.32081000
   43      0.32250000    582.07099300    501.69606700
   44      0.33000000    578.32045700    500.07132300
   45      0.33750000    574.56992200    498.44657900
   46      0.34500000    570.84105100    496.82183500
   47      0.35250000    567.12301100    495.19709200
   48      0.36000000    563.40497100    493.57234800
   49      0.36750000    559.71942600    491.94760500
   50      0.37500000    556.03388100    490.32286100
   51      0.38250000    552.35916800    488.69811800
   52      0.39000000    548.70611700    487.07337400
   53      0.39750000    545.05306600    485.44863000
   54      0.40500000    541.42167900    483.82388600
   55      0.41250000    537.80112400    482.19914300
   56      0.42000000    534.18056900    480.57439900
   57      0.42750000    530.59250800    478.94965500
   58      0.43500000    527.00444700    477.32491200
   59      0.44250000    523.42721800    475.70016800
   60      0.45000000    519.87165300    474.07542400
   61      0.45750000    516.31608700    472.45068000
   62      0.46500000    512.78218500    470.82593700
   63      0.47250000    509.25911400    469.20119300
   64      0.48000000    505.73604300    467.57644900
   65      0.48750000    502.24546700    465.95170600
   66      0.49500000    498.75489100    464.32696200
   67      0.50250000    495.27514700    462.70221900
   68      0.51000000    491.81706600    461.07747500
   69      0.51750000    488.35898500    459.45273100
   70      0.52500000    484.92256700    457.82798800
   71      0.53250000    481.49698100    456.20324400
   72      0.54000000    478.07139500    454.57850000
   73      0.54750000    474.67830400    452.95375600
   74      0.55500000    471.28521200    451.32901300
   75      0.56250000    467.90295200    449.70426900
   76      0.57000000    464.54235600    448.07952500
   77      0.57750000    461.18176000    446.45478100
   78      0.58500000    457.84282700    444.83003800
   79      0.59250000    454.51472500    443.20529400
   80      0.60000000    451.18662300    441.58055000
   81      0.60750000    447.89101600    439.95580700
   82      0.61500000    444.59541000    438.33106300
   83      0.62250000    441.31063500    436.70632000
   84      0.63000000    438.04752300    435.08157600
