# Header information on force file

1_1
N 2000  R        0.005000       10.000000

    1      0.00500000    274.48235500   2509.89955100
    2      0.01000000    273.93002900   2504.84811000
    3      0.01500000    273.37770400   2499.79666900
    4      0.02000000    272.82537900   2494.74522800
    5      0.02500000    272.27305400   2489.69378700
    6      0.03000000    271.72072800   2484.64234600
    7      0.03500000    271.16840300   2479.59090500
    8      0.04000000    270.61607800   2474.53946400
    9      0.04500000    270.06375300   2469.48802300
   10      0.05000000    269.51142700   2464.43658200
   11      0.05500000    268.95910200   2459.38514100
   12      0.06000000    268.40677700   2454.33370000
   13      0.06500000    267.85445200   2449.28225900
   14      0.07000000    267.30212600   2444.23081800
   15      0.07500000    266.74980100   2439.17937700
   16      0.08000000    266.19747600   2434.12793600
   17      0.08500000    265.64515100   2429.07649500
   18      0.09000000    265.09282500   2424.02505400
   19      0.09500000    264.54050000   2418.97361300
   20      0.10000000    263.98817500   2413.92217200
   21      0.10500000    263.43585000   2408.87073100
   22      0.11000000    262.88352400   2403.81929000
   23      0.11500000    262.33119900   2398.76784900
   24      0.12000000    261.77887400   2393.71640800
   25      0.12500000    261.22654900   2388.66496700
   26      0.13000000    260.67422300   2383.61352600
   27      0.13500000    260.12189800   2378.56208500
   28      0.14000000    259.56957300   2373.51064400
   29      0.14500000    259.01724800   2368.45920300
   30      0.15000000    258.46492200   2363.40776200
   31      0.15500000    257.91259700   2358.35632100
   32      0.16000000    257.36027200   2353.30488000
   33      0.16500000    256.80794700   2348.25343900
   34      0.17000000    256.25562100   2343.20199800
   35      0.17500000    255.70329600   2338.15055700
   36      0.18000000    255.15097100   2333.09911600
   37      0.18500000    254.59864600   2328.04767500
   38      0.19000000    254.04632000   2322.99623400
   39      0.19500000    253.49399500   2317.94479300
   40      0.20000000    252.94167000   2312.89335200
   41      0.20500000    252.38934500   2307.84191100
   42      0.21000000    251.83701900   2302.79047000
   43      0.21500000    251.28469400   2297.73902900
   44      0.22000000    250.73236900   2292.68758800
   45      0.22500000    250.18004400   2287.63614700
   46      0.23000000    249.62771800   2282.58470600
   47      0.23500000    249.07539300   2277.53326500
   48      0.24000000    248.52306800   2272.48182400
   49      0.24500000    247.97074300   2267.43038300
   50      0.25000000    247.41841700   2262.37894200
   51      0.25500000    246.86609200   2257.32750100
   52      0.26000000    246.31376700   2252.27606000
   53      0.26500000    245.76144200   2247.22461900
   54      0.27000000    245.20911600   2242.17317800
   55      0.27500000    244.65679100   2237.12173700
   56      0.28000000    244.10446600   2232.07029600
   57      0.28500000    243.55214100   2227.01885500
   58      0.29000000    242.99981500   2221.96741400
   59      0.29500000    242.44749000   2216.91597300
   60      0.30000000    241.89516500   2211.86453200
   61      0.30500000    241.34284000   2206.81309100
   62      0.31000000    240.79051400   2201.76165000
   63      0.31500000    240.23818900   2196.71020900
   64      0.32000000    239.68586400   2191.65876800
   65      0.32500000    239.13353900   2186.60732700
   66      0.33000000    238.58121300   2181.55588600
   67      0.33500000    238.02888800   2176.50444500
