# Header information on force file

1_1
N 2000  R        0.012511       25.022000

    1      0.01251100    273.65265200   2502.31127600
    2      0.02502200    272.27062400   2489.67156100
    3      0.03753300    270.88859500   2477.03184500
    4      0.05004400    269.50656700   2464.39212900
    5      0.06255500    268.12453900   2451.75241400
    6      0.07506600    266.74251100   2439.11269800
    7      0.08757700    265.36048200   2426.47298200
    8      0.10008800    263.97845400   2413.83326700
    9      0.11259900    262.59642600   2401.19355100
   10      0.12511000    261.21439800   2388.55383500
   11      0.13762100    259.83236900   2375.91412000
   12      0.15013200    258.45034100   2363.27440400
   13      0.16264300    257.06831300   2350.63468800
   14      0.17515400    255.68628500   2337.99497300
   15      0.18766500    254.30425600   2325.35525700
   16      0.20017600    252.92222800   2312.71554100
   17      0.21268700    251.54020000   2300.07582600
   18      0.22519800    250.15817200   2287.43611000
   19      0.23770900    248.77614300   2274.79639400
   20      0.25022000    247.39411500   2262.15667900
   21      0.26273100    246.01208700   2249.51696300
   22      0.27524200    244.63005900   2236.87724700
   23      0.28775300    243.24803000   2224.23753200
   24      0.30026400    241.86600200   2211.59781600
   25      0.31277500    240.48397400   2198.95810000
   26      0.32528600    239.10194600   2186.31838500
   27      0.33779700    237.71991800   2173.67866900
   28      0.35030800    236.33788900   2161.03895300
   29      0.36281900    234.95586100   2148.39923800
   30      0.37533000    233.57383300   2135.75952200
   31      0.38784100    232.19180500   2123.11980600
   32      0.40035200    230.80977600   2110.48009100
   33      0.41286300    229.42774800   2097.84037500
   34      0.42537400    228.04572000   2085.20065900
   35      0.43788500    226.66369200   2072.56094400
   36      0.45039600    225.28166300   2059.92122800
   37      0.46290700    223.89963500   2047.28151200
   38      0.47541800    222.51760700   2034.64179700
   39      0.48792900    221.13557900   2022.00208100
   40      0.50044000    219.75355000   2009.36236500
   41      0.51295100    218.37152200   1996.72265000
   42      0.52546200    216.98949400   1984.08293400
   43      0.53797300    215.60746600   1971.44321800
   44      0.55048400    214.22543700   1958.80350300
   45      0.56299500    212.84340900   1946.16378700
   46      0.57550600    211.46138100   1933.52407100
   47      0.58801700    210.07935300   1920.88435600
