# Header information on force file

1_1
N 2000  R        0.005000       10.000000

    1      0.00500000    750.00718900    570.47688400
    2      0.01000000    747.31186400    569.39372200
    3      0.01500000    744.61653800    568.31056000
    4      0.02000000    741.92121200    567.22739700
    5      0.02500000    739.22588600    566.14423400
    6      0.03000000    736.53056000    565.06107200
    7      0.03500000    733.83523500    563.97790900
    8      0.04000000    731.13990900    562.89474700
    9      0.04500000    728.44458300    561.81158400
   10      0.05000000    725.74925800    560.72842200
   11      0.05500000    723.05393200    559.64525900
   12      0.06000000    720.35860600    558.56209700
   13      0.06500000    717.66328000    557.47893400
   14      0.07000000    714.96795500    556.39577200
   15      0.07500000    712.27262900    555.31261000
   16      0.08000000    709.57730300    554.22944700
   17      0.08500000    706.88197700    553.14628400
   18      0.09000000    704.18665100    552.06312200
   19      0.09500000    701.49132600    550.97995900
   20      0.10000000    698.79600000    549.89679700
   21      0.10500000    696.10067400    548.81363400
   22      0.11000000    693.40534900    547.73047200
   23      0.11500000    690.71002300    546.64731000
   24      0.12000000    688.01469700    545.56414700
   25      0.12500000    685.31937100    544.48098400
   26      0.13000000    682.62404600    543.39782200
   27      0.13500000    679.92872000    542.31466000
   28      0.14000000    677.23339400    541.23149700
   29      0.14500000    674.53806800    540.14833500
   30      0.15000000    671.84274200    539.06517200
   31      0.15500000    669.14741700    537.98201000
   32      0.16000000    666.45209100    536.89884700
   33      0.16500000    663.77842800    535.81568500
   34      0.17000000    661.10476500    534.73252200
   35      0.17500000    658.43110300    533.64936000
   36      0.18000000    655.75744000    532.56619700
   37      0.18500000    653.10544100    531.48303500
   38      0.19000000    650.45344200    530.39987200
   39      0.19500000    647.80144200    529.31671000
   40      0.20000000    645.14944300    528.23354700
   41      0.20500000    642.51910700    527.15038500
   42      0.21000000    639.88877100    526.06722200
   43      0.21500000    637.25843400    524.98406000
   44      0.22000000    634.62809800    523.90089700
   45      0.22500000    632.01942500    522.81773500
   46      0.23000000    629.41075300    521.73457300
   47      0.23500000    626.80208000    520.65141000
   48      0.24000000    624.19340700    519.56824800
   49      0.24500000    621.60639700    518.48508500
   50      0.25000000    619.01938700    517.40192300
   51      0.25500000    616.43237800    516.31876100
   52      0.26000000    613.84536800    515.23559800
   53      0.26500000    611.28002200    514.15243600
   54      0.27000000    608.71467500    513.06927300
   55      0.27500000    606.14932900    511.98611000
   56      0.28000000    603.58398300    510.90294800
   57      0.28500000    601.04030000    509.81978500
   58      0.29000000    598.49661700    508.73662300
   59      0.29500000    595.95293300    507.65346000
   60      0.30000000    593.40925000    506.57029800
   61      0.30500000    590.88723000    505.48713500
   62      0.31000000    588.36521100    504.40397300
   63      0.31500000    585.84319100    503.32081000
   64      0.32000000    583.32117100    502.23764800
   65      0.32500000    580.82081400    501.15448500
   66      0.33000000    578.32045700    500.07132300
   67      0.33500000    575.82010100    498.98816000
   68      0.34000000    573.31974400    497.90499800
   69      0.34500000    570.84105100    496.82183500
   70      0.35000000    568.36235700    495.73867300
   71      0.35500000    565.88366400    494.65551000
   72      0.36000000    563.40497100    493.57234800
   73      0.36500000    560.94794100    492.48918600
   74      0.37000000    558.49091100    491.40602300
   75      0.37500000    556.03388100    490.32286100
   76      0.38000000    553.57685100    489.23969900
   77      0.38500000    551.14148400    488.15653600
   78      0.39000000    548.70611700    487.07337400
   79      0.39500000    546.27075000    485.99021100
   80      0.40000000    543.83538300    484.90704900
   81      0.40500000    541.42167900    483.82388600
   82      0.41000000    539.00797600    482.74072400
   83      0.41500000    536.59427200    481.65756100
   84      0.42000000    534.18056900    480.57439900
   85      0.42500000    531.78852800    479.49123700
   86      0.43000000    529.39648800    478.40807400
   87      0.43500000    527.00444700    477.32491200
   88      0.44000000    524.61240700    476.24174900
