Particle 0: Vec3(x=1.8899752394363725, y=2.427521189917911, z=1.9506373879423857) nm
Particle 1: Vec3(x=0.22219381096829108, y=0.04344323500653424, z=1.9004190340160168) nm
Particle 2: Vec3(x=0.6275444477338531, y=0.8102082010194755, z=2.1671737284234167) nm
Particle 3: Vec3(x=0.9436907073157003, y=1.6591794417136636, z=1.9605874735210211) nm
Particle 4: Vec3(x=0.9791166885033028, y=2.2630986356657394, z=1.9554626779678503) nm
Particle 5: Vec3(x=1.1419042516721698, y=0.04000656400871117, z=2.341614210762836) nm
Particle 6: Vec3(x=2.295815488803567, y=1.42757807615366, z=0.8792783324186826) nm
Particle 7: Vec3(x=1.5760531944261582, y=0.016204029749813057, z=1.6119840732451003) nm
Particle 8: Vec3(x=0.6456223202396628, y=0.8502256352585326, z=1.9639896678599185) nm
Particle 9: Vec3(x=0.4127841060395308, y=0.5338137371795134, z=2.0413702042411477) nm
Particle 10: Vec3(x=2.520049414691746, y=0.1778225631254054, z=1.916002517015812) nm
Particle 11: Vec3(x=0.22285891498825347, y=1.4056890052486608, z=2.333909562873793) nm
Particle 12: Vec3(x=1.0801817748114584, y=1.6681413417722084, z=0.167953382064365) nm
Particle 13: Vec3(x=0.887069616275192, y=0.2804812716390332, z=1.234981081385674) nm
Particle 14: Vec3(x=2.1394589626031877, y=0.7644743385926888, z=0.8597798854014003) nm
Particle 15: Vec3(x=0.3098987486848296, y=0.5060749689691317, z=0.8843640051017354) nm
Particle 16: Vec3(x=1.0079546187943955, y=1.7644167315779593, z=1.9655465584305682) nm
Particle 17: Vec3(x=0.25378135804459756, y=1.7422426643887063, z=1.8735016684706804) nm
Particle 18: Vec3(x=0.6085644779233212, y=0.6962812227299497, z=0.2612904392715134) nm
Particle 19: Vec3(x=2.5767025924361846, y=1.456032577045097, z=1.372182275208397) nm
Particle 20: Vec3(x=0.024184626023991768, y=0.6667808972280536, z=2.018272165023058) nm
Particle 21: Vec3(x=0.8939555872291624, y=0.9558465743085082, z=0.34547735073168323) nm
Particle 22: Vec3(x=0.46914226048667224, y=2.2062665858128696, z=0.23918516082378696) nm
Particle 23: Vec3(x=2.5632476426343684, y=0.6945562485972606, z=1.192850240140307) nm
Particle 24: Vec3(x=0.49307218905767874, y=0.8117211996657776, z=1.2471684274130943) nm
Particle 25: Vec3(x=1.0489186192107316, y=2.2670679586997475, z=1.4084496622486538) nm
Particle 26: Vec3(x=1.7579300352120195, y=0.4542511774103196, z=1.839617077892891) nm
Particle 27: Vec3(x=0.7388575737661454, y=0.34254278440559355, z=2.044805057487258) nm
Particle 28: Vec3(x=0.42474124958874926, y=2.3240775600060095, z=2.41471727777807) nm
Particle 29: Vec3(x=2.0726451229663976, y=1.9331003611611128, z=2.1390009689502865) nm
Particle 30: Vec3(x=1.4660987184326175, y=1.9935163394149913, z=1.5085401972430956) nm
Particle 31: Vec3(x=0.8141317790255581, y=1.105838311895257, z=2.182492219561225) nm
Particle 32: Vec3(x=0.6547845556426406, y=2.4313233875486575, z=0.1377843714588224) nm
Particle 33: Vec3(x=2.1664119798645847, y=2.2733790847464994, z=0.8622601127482875) nm
Particle 34: Vec3(x=0.3186583299663891, y=2.5059781712372744, z=0.08509520057834982) nm
Particle 35: Vec3(x=2.056308916727447, y=2.0980751521397862, z=0.07977496547321969) nm
Particle 36: Vec3(x=1.6764454150293147, y=2.495955355660446, z=0.8833464286180631) nm
Particle 37: Vec3(x=0.9809966095962765, y=0.7782021653851362, z=0.9337985720173835) nm
Particle 38: Vec3(x=1.3679771954836528, y=1.4342215226003088, z=0.5192247093852448) nm
Particle 39: Vec3(x=0.043713240395556026, y=1.6920982824712365, z=2.3576647498166396) nm
Particle 40: Vec3(x=1.5941688035951598, y=0.30900743226018373, z=1.4905072856691184) nm
Particle 41: Vec3(x=1.5149280074842064, y=0.5567391623180338, z=1.6464895181198544) nm
Particle 42: Vec3(x=2.4296160679178747, y=0.4122175827024527, z=1.1268736115177893) nm
Particle 43: Vec3(x=1.0487322845066511, y=1.8442155421992483, z=1.7272076620636114) nm
Particle 44: Vec3(x=1.3065412528692422, y=0.9561339236787809, z=0.4490229420910911) nm
Particle 45: Vec3(x=2.55913319717368, y=2.3347706709467757, z=0.3381780216805424) nm
Particle 46: Vec3(x=0.5506994766222331, y=2.3774527397888643, z=1.8789843407322118) nm
Particle 47: Vec3(x=2.156332148096597, y=-0.024067123371432225, z=2.1463857910329183) nm
Particle 48: Vec3(x=0.9936113879066377, y=0.2485365356599274, z=0.2418814101178409) nm
Particle 49: Vec3(x=1.227024164779012, y=0.9127954901694276, z=2.4106398916295375) nm
Particle 50: Vec3(x=1.0034783683752202, y=2.452469291509007, z=0.9745293973192367) nm
Particle 51: Vec3(x=-0.02216877180752837, y=0.3285751601397983, z=2.20077719060843) nm
Particle 52: Vec3(x=0.46186206483655506, y=1.8112787498892817, z=2.227634080256776) nm
Particle 53: Vec3(x=0.8730880548505675, y=2.4112544687308555, z=-0.03460871630999238) nm
Particle 54: Vec3(x=1.5812167745820285, y=2.213248042312043, z=0.9429839706331123) nm
Particle 55: Vec3(x=0.07659389895479968, y=1.9380248345055517, z=1.3143073618831802) nm
Particle 56: Vec3(x=0.5433314305695325, y=0.5466467897145489, z=0.21156000549825185) nm
Particle 57: Vec3(x=0.32554600097985265, y=1.2981953792042387, z=1.3058857445615342) nm
Particle 58: Vec3(x=1.3654618350196956, y=1.8579662420762935, z=0.29549106037556) nm
Particle 59: Vec3(x=1.638040476953985, y=0.9813503124137882, z=0.37726629061899913) nm
Particle 60: Vec3(x=-0.04332162904433982, y=-0.01683135592094346, z=0.794383427716275) nm
Particle 61: Vec3(x=1.586282735730819, y=1.0485380041518513, z=1.6326881906226616) nm
Particle 62: Vec3(x=2.2124283648196092, y=0.3871430841792087, z=0.20101757004582135) nm
Particle 63: Vec3(x=1.3570352715812473, y=1.8906899074874164, z=2.4586146584600654) nm
Particle 64: Vec3(x=0.6474370181186337, y=1.0906647368045512, z=0.42006829354389896) nm
Particle 65: Vec3(x=1.5328239840868618, y=1.9662357921322833, z=0.24474577043157877) nm
Particle 66: Vec3(x=1.175514776102098, y=2.2480866472398042, z=0.6062812184039277) nm
Particle 67: Vec3(x=1.1743780139335995, y=2.231005264822594, z=0.2936260024926829) nm
Particle 68: Vec3(x=0.5747166564077821, y=0.34926458326154636, z=2.339858155028795) nm
Particle 69: Vec3(x=1.6626906447048964, y=0.6004619480205398, z=1.5191781495358467) nm
Particle 70: Vec3(x=0.14401568653345143, y=1.8276012810824458, z=1.6588517891149672) nm
Particle 71: Vec3(x=1.6870317533761308, y=1.8192002659764597, z=1.908322422685715) nm
Particle 72: Vec3(x=2.508495513526027, y=1.0004376920677895, z=1.386899815777508) nm
Particle 73: Vec3(x=2.285443664158597, y=1.0572526696464317, z=1.9540551304016593) nm
Particle 74: Vec3(x=2.105787090265475, y=1.3292340325473713, z=1.9883520243445754) nm
Particle 75: Vec3(x=1.1515025383325779, y=1.5450231392970322, z=0.8918750496026131) nm
Particle 76: Vec3(x=2.4509731188074726, y=1.4526185899697877, z=0.08603793230559122) nm
Particle 77: Vec3(x=1.9748928624126096, y=1.653349120494964, z=0.7550207275072028) nm
Particle 78: Vec3(x=1.1452446446513016, y=0.9256632418473412, z=0.2912224948600835) nm
Particle 79: Vec3(x=1.9483357984625815, y=1.858521527312199, z=0.9445694783344218) nm
Particle 80: Vec3(x=2.4034102213948128, y=1.2632221122329919, z=2.306200402781295) nm
Particle 81: Vec3(x=0.048936646838270634, y=0.9015454067735843, z=0.7625552990205023) nm
Particle 82: Vec3(x=2.0894098294895787, y=0.16413511472960737, z=1.3520901116790198) nm
Particle 83: Vec3(x=0.47686238322268065, y=0.9673149812416706, z=2.3434422693755077) nm
Particle 84: Vec3(x=1.9216352693474168, y=1.5356328556859997, z=1.63159989039901) nm
Particle 85: Vec3(x=1.9128641378999216, y=0.6292576024866849, z=1.79751315978519) nm
Particle 86: Vec3(x=1.2710158198328811, y=2.437190468475784, z=1.6957867496822006) nm
Particle 87: Vec3(x=0.014195552813795262, y=0.07942791595755494, z=2.5191885795114866) nm
Particle 88: Vec3(x=1.0618519145604732, y=1.1718047164679986, z=1.5066761115633065) nm
Particle 89: Vec3(x=2.2508524987450858, y=1.036388192585666, z=1.294628812600162) nm
Particle 90: Vec3(x=0.730447768214091, y=1.2864010584741978, z=1.8426768287999757) nm
Particle 91: Vec3(x=0.930376951369014, y=0.4671651451089523, z=1.7134204920743115) nm
Particle 92: Vec3(x=1.7361752145031224, y=0.6340850091860047, z=2.457068646624433) nm
Particle 93: Vec3(x=0.5028122273403737, y=1.6185669862824232, z=1.3984694723588111) nm
Particle 94: Vec3(x=2.274870640553321, y=0.3222417122051962, z=1.4066109710098234) nm
Particle 95: Vec3(x=2.137601830338081, y=2.1676888938983123, z=0.348270392208745) nm
Particle 96: Vec3(x=1.6991103889283186, y=0.4069723673500709, z=0.4047102585619559) nm
Particle 97: Vec3(x=0.9041307329720006, y=0.772514034640952, z=0.7857382017639242) nm
Particle 98: Vec3(x=1.3317212897193356, y=2.200467382490196, z=1.3504741237353746) nm
Particle 99: Vec3(x=0.8972309809174897, y=2.1130646007621428, z=0.1164282983214202) nm
Particle 100: Vec3(x=1.3442225087930477, y=1.5485573874646483, z=0.15279939992002783) nm
Particle 101: Vec3(x=1.245644249782671, y=1.800146852030683, z=0.6088389386632722) nm
Particle 102: Vec3(x=1.0377260337329204, y=1.367867319645466, z=2.003435920127327) nm
Particle 103: Vec3(x=2.556333558018552, y=2.2179434844626984, z=2.4402977660485528) nm
Particle 104: Vec3(x=0.7869697242473004, y=1.1944640357580267, z=2.493940921554296) nm
Particle 105: Vec3(x=0.8959805612094153, y=1.6927508477360382, z=0.48551323782437716) nm
Particle 106: Vec3(x=0.43692175132807876, y=1.1353131786284423, z=0.20367161936274233) nm
Particle 107: Vec3(x=0.7704046280986232, y=0.5088568688760107, z=1.474572533664471) nm
Particle 108: Vec3(x=2.0393254602075834, y=1.1872769743614333, z=2.38622021040511) nm
Particle 109: Vec3(x=0.028875596516780268, y=2.0766208364759646, z=0.6642445481033329) nm
Particle 110: Vec3(x=-0.007785227030663564, y=1.7824345277670999, z=0.7213700843136088) nm
Particle 111: Vec3(x=0.8160264993833272, y=1.5222701986625318, z=0.022459508763517752) nm
Particle 112: Vec3(x=2.248468902719646, y=0.5263103339501741, z=0.9159702145806417) nm
Particle 113: Vec3(x=0.6937372434172222, y=0.680373494112814, z=-0.054663949578149774) nm
Particle 114: Vec3(x=0.4272899615474449, y=1.0992680563668369, z=1.0360569660750452) nm
Particle 115: Vec3(x=0.6124862144413281, y=1.845239745998013, z=1.7936291259089556) nm
Particle 116: Vec3(x=1.0878776093302909, y=1.5470248731824627, z=1.8882446208795487) nm
Particle 117: Vec3(x=2.1685331559662844, y=0.6527005530190427, z=1.6100416835857092) nm
Particle 118: Vec3(x=1.9309517159739207, y=0.6508888933315222, z=1.1670330364729729) nm
Particle 119: Vec3(x=0.19787545441608204, y=1.3689896486886846, z=0.1890757324054561) nm
Particle 120: Vec3(x=0.5416337668741297, y=1.9879671042632883, z=2.0174204058755354) nm
Particle 121: Vec3(x=2.230400399103855, y=1.5575402031576449, z=1.2802108268857673) nm
Particle 122: Vec3(x=1.5028954174246225, y=1.218111885935987, z=1.8753223079939287) nm
Particle 123: Vec3(x=1.4669537088944278, y=0.04875630510288728, z=1.0445427403140584) nm
Particle 124: Vec3(x=2.2908209213448867, y=0.5401263137908501, z=2.4080731979435375) nm
Particle 125: Vec3(x=0.1549434253841055, y=0.18263219588709428, z=0.3737976833435733) nm
