LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.6 on Mon Aug 08 19:28:00 CDT 2022
 512 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 1 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.003735 25.072535  xlo xhi
 -0.194845 24.873955  ylo yhi
 -0.028463 25.040337  zlo zhi

 Masses

 1 18.015400 #water

 Atoms

1 1 1 0.000000 18.313139 24.535906 20.516483 #  UNK
2 1 1 0.000000 2.474589 0.920216 18.658251 #  UNK
3 1 1 0.000000 5.006475 7.991133 21.153040 #  UNK
4 1 1 0.000000 9.200065 17.223949 20.110617 #  UNK
5 1 1 0.000000 9.221260 22.841621 19.121584 #  UNK
6 1 1 0.000000 10.752622 0.101923 23.753273 #  UNK
7 1 1 0.000000 22.851244 14.329339 8.879567 #  UNK
8 1 1 0.000000 15.461267 0.558195 16.026617 #  UNK
9 1 1 0.000000 6.800832 8.641703 19.269461 #  UNK
10 1 1 0.000000 4.554974 5.504519 20.245628 #  UNK
11 1 1 0.000000 24.784317 1.543884 19.208706 #  UNK
12 1 1 0.000000 2.639581 14.960228 23.097988 #  UNK
13 1 1 0.000000 10.791428 16.572651 2.091168 #  UNK
14 1 1 0.000000 8.982371 3.295625 12.184855 #  UNK
15 1 1 0.000000 20.945595 7.881155 8.700015 #  UNK
16 1 1 0.000000 3.504122 5.915123 8.912575 #  UNK
17 1 1 0.000000 10.793567 20.605083 19.669283 #  UNK
18 1 1 0.000000 1.646947 18.286383 20.886133 #  UNK
19 1 1 0.000000 2.622535 6.523165 0.831218 #  UNK
20 1 1 0.000000 24.740208 14.703950 13.979877 #  UNK
21 1 1 0.000000 0.612573 6.830144 19.806694 #  UNK
22 1 1 0.000000 9.043386 9.405789 4.117366 #  UNK
23 1 1 0.000000 5.182762 21.759460 2.650894 #  UNK
24 1 1 0.000000 24.922348 7.162883 12.009967 #  UNK
25 1 1 0.000000 5.421229 8.265992 12.388762 #  UNK
26 1 1 0.000000 10.675189 21.733061 14.118794 #  UNK
27 1 1 0.000000 17.185707 4.934757 18.161812 #  UNK
28 1 1 0.000000 7.585401 4.019775 19.904083 #  UNK
29 1 1 0.000000 3.990322 23.122055 24.000523 #  UNK
30 1 1 0.000000 21.099710 18.913916 20.788044 #  UNK
31 1 1 0.000000 14.490611 19.554089 15.072417 #  UNK
32 1 1 0.000000 8.332231 11.221739 21.441328 #  UNK
33 1 1 0.000000 6.756685 23.971140 1.632215 #  UNK
34 1 1 0.000000 21.661943 22.251467 8.680869 #  UNK
35 1 1 0.000000 3.736299 24.564812 1.681365 #  UNK
36 1 1 0.000000 20.295166 20.577522 1.062775 #  UNK
37 1 1 0.000000 16.355799 24.500652 9.128995 #  UNK
38 1 1 0.000000 8.427500 4.744679 9.750216 #  UNK
39 1 1 0.000000 13.792917 14.171184 5.476501 #  UNK
40 1 1 0.000000 0.574381 16.722851 23.397200 #  UNK
41 1 1 0.000000 15.686694 3.551965 15.019000 #  UNK
42 1 1 0.000000 14.536099 6.307366 15.837755 #  UNK
43 1 1 0.000000 23.796488 4.604590 11.156734 #  UNK
44 1 1 0.000000 9.277064 18.954157 17.909407 #  UNK
45 1 1 0.000000 12.298067 9.446631 4.475458 #  UNK
46 1 1 0.000000 25.008158 23.462084 4.081502 #  UNK
47 1 1 0.000000 5.682889 24.519945 18.289993 #  UNK
48 1 1 0.000000 21.174572 0.008062 21.161650 #  UNK
49 1 1 0.000000 11.226116 1.756738 2.635998 #  UNK
50 1 1 0.000000 12.402323 9.290600 23.887518 #  UNK
51 1 1 0.000000 9.884504 24.057344 9.557163 #  UNK
52 1 1 0.000000 0.128637 3.523304 21.631523 #  UNK
53 1 1 0.000000 4.910503 18.096111 21.840561 #  UNK
54 1 1 0.000000 8.927879 23.558744 0.246114 #  UNK
55 1 1 0.000000 15.728178 21.896461 9.362229 #  UNK
56 1 1 0.000000 0.530305 20.603510 13.633627 #  UNK
57 1 1 0.000000 4.935314 5.619002 2.224681 #  UNK
58 1 1 0.000000 3.716790 12.973744 12.950184 #  UNK
59 1 1 0.000000 12.753572 18.462078 2.636538 #  UNK
60 1 1 0.000000 16.376554 9.696646 3.360969 #  UNK
61 1 1 0.000000 0.156267 0.232761 8.556236 #  UNK
62 1 1 0.000000 15.227516 10.276883 16.983505 #  UNK
63 1 1 0.000000 21.592756 4.519503 2.673311 #  UNK
64 1 1 0.000000 13.680905 19.445185 24.997601 #  UNK
65 1 1 0.000000 6.727746 10.780766 4.697209 #  UNK
66 1 1 0.000000 15.378366 19.281700 3.479900 #  UNK
67 1 1 0.000000 11.534144 21.942751 6.059675 #  UNK
68 1 1 0.000000 12.027105 22.179201 2.958425 #  UNK
